Source,Target
-1043043581,-806429871
832500656,1036153944
-1028310682,740117774
-1423067140,12838915
-878299108,1742227899
-62688778,-1212859373
-95765688,-1693692331
-1925932447,-668946953
-2027691124,-1726143883
-863909407,-716873338
1533915454,1484174238
161768515,-1071339662
251814776,29213124
1846141343,1851038898
1145933336,107665255
1555628211,-401460015
-297660850,736274326
-1420816299,-160681709
713545188,-92742293
-1811230281,-130025243
641856118,-1947919097
1564304183,1742194695
-1846104730,-693452556
-62688778,-23607567
56887998,-886596479
-138870394,-153567452
1002534139,1647934628
-888400083,-923292688
1833066736,263572382
-1286745565,1853476228
-731461384,1628543018
910167999,1132965784
1564421494,542153833
1132965784,1635256920
16777695,2007267478
-232317873,1566848218
-1487362887,-1912691380
-2027691124,169752951
169369302,-888400083
104388377,143879144
820379567,-1062292040
-978308421,-1190259475
-668946953,1903166062
-2089641482,-1847082000
-169493809,143108235
-1919096019,237667990
-2097380011,-794971571
542153833,403684445
168966886,-984964906
1583351843,1584187169
1094214645,-1071339662
602149219,854368802
2042328134,1746150224
507210563,-806939064
-372985709,-888443454
641856118,681829815
1452619213,1771803044
81672185,-821114348
448759630,-1638743296
-117685250,195569352
-859092693,-57782330
297251960,-1567037110
1599821168,-130025243
-725272663,-868823982
-1723910062,-112955947
-53012702,-232317873
-953955987,-1778050150
-1072318022,1094214645
1484174238,-1733962348
1428141498,70532529
-1900809864,-1487362887
1607480687,199197188
-1151852688,89386533
-181212034,735721824
2107211738,-7720456
-29767932,1889781399
-1847082000,1861354906
-1841155350,-1705050063
-247074805,-1705050063
-1925932447,1761209006
956432079,161768515
819728603,143879144
-1915798964,-1659347164
-260537522,1564304183
-38509187,962521075
1887872820,1607451981
1545778101,-920222943
766795035,-775789583
-1190259475,85398046
1600360869,1035494903
-61341307,-1122864713
-1603242205,-1577364198
-865431100,-2017539901
-1799311532,-323853287
-657765426,401211831
-1741106776,-1733962348
-1722701930,-1377018762
-1212859373,972834559
-713987545,895393173
-1175259340,803870447
-1847598412,16804792
770586397,747145223
-1705050063,-1845984256
-700303611,-1212859373
1681587072,3236459
-29983273,-716873338
-1919096019,1781393063
-41127744,1661418556
931369662,168874596
-1151361103,1802225451
-947898655,956432079
1628543018,-1888877086
1774397984,1835527012
-719616001,54924774
57217027,-921394040
-1952803707,-885756599
-1070235504,-1058817565
70532529,-897311898
-1190259475,-95765688
-700303611,-2010278352
-1952803707,143547172
1399061361,-868823982
-1128657732,-859092693
-1899639923,-1753118089
1835527012,1657322497
1549530554,-2025231764
-298407455,-1071245484
-1597844656,-868823982
-1004264993,-31743012
891353292,1468449485
-1583480159,490322074
-1912691380,-1690491820
-883967054,-1691894009
828744104,274001444
770515857,1628543018
1946340793,251838642
-806429871,1767421152
88206636,-27867122
-1853839019,490322074
-875656547,251814776
1145933336,-231973970
-1694338648,-1662614052
1514078204,-1749308314
1650054166,-88188054
747145223,1879523654
1546195829,1545714584
-1072318022,-53012702
70532529,-775789583
-1633751935,-1633779900
507210563,-1846104730
-1778800562,-1131586
-984964906,1771803044
-1662614052,-239115722
745745259,-978308421
740958325,1653332779
1564304183,-1019242809
510327545,348073231
130399900,1718157417
84532314,-353676363
1607480687,-1072292168
1767421152,-1866824523
297251960,-62688778
-91045489,749540821
-852128647,-1518438537
1514588508,195569352
1555628211,-953955987
1021351749,-1959168784
-1860545492,-1915798964
195569352,-978308421
655408590,-1544344220
-1603242205,130399900
-745385127,-782779785
146039658,57217027
-1004503115,1374160762
510327545,507210563
1859358818,1828148957
942492331,-716873338
-713987545,819728603
-857522595,741042310
-1603242205,-298407455
-978399477,988447166
1652872772,-1583480159
-1976667354,-53012702
-1619835694,865438940
237667990,-88160967
956432079,1654862655
-982024639,-885829975
1650054166,-153567452
915672257,-1420549916
910167999,29213124
-1721219886,-1549797832
-1122864713,-1957912263
-993947859,-1064042508
-988931967,982907312
-984964906,568479411
1546195829,-1977743520
-54826302,1776509274
1703758585,168072389
570323249,-868823982
1713631264,114925381
-1919471358,-661313126
740272562,-804654379
-1122864713,-1841155350
1528623260,-88160967
-840870967,1574152808
1963712090,46887799
-1025654217,1857443436
1771713732,806339165
729541370,108906685
-231973970,-130025243
887104736,1814740610
-1004264993,-893411875
-419269542,-661313126
-1212859373,242103037
-1888877086,-1952803707
745744578,854572874
749540821,-130025243
-2089641482,1861354906
820379567,587272310
-1733962348,-1919096019
1771803044,-1773170776
1771803044,1657322497
-297660850,-1904842441
1555628211,-1665298501
-1778050150,510327545
348073231,-657765426
-861147860,-979640732
-1665028386,910167999
-819832095,-775789583
199197188,944604587
1659214265,655408590
1428141498,108906685
-770463628,1742227899
887104736,-3227173
-1912691380,1545778101
-1194060910,-840870967
-1579413247,-913067334
-1894310667,-658718451
-2097380011,-239115722
1760510784,-878299108
712200285,736274326
-1919096019,1946869998
-1231767112,-1915798964
745745259,-1977743520
1742201924,915672257
324210827,-1931036170
-1004264993,830587238
-1195014504,-419269542
-1619835694,-1894310667
-1544201125,-57782330
-323853287,401211831
-659407334,770515857
-323853287,-1122864713
242103037,1555628211
-61341307,-1567037110
-1577364198,-1071339662
104388377,-979640732
-946173981,1589251368
-182464108,-1151852688
682271781,-667069249
-1915798964,107665255
-203930990,-835228646
-915221875,130399900
324607878,-1716927291
-112354638,1828338708
2130035460,717887855
1994120114,-1299477404
-1494300964,1661418556
-1712909745,-885829975
-1838708801,1607480687
-2089641482,-143606145
499182992,1546195829
-1846104730,-1131586
1025103814,-1721219886
-742760720,-719616001
-1071339662,-1577364198
-1597736655,-943923335
-1518438537,-654873585
-857701065,214809866
-1423067140,115863800
-53012702,83488511
1509606259,1742817467
575581024,801070059
-979640732,-1780853097
-1915798964,1504842393
1680438997,-86257508
-1405490961,866887732
655408590,1846141343
-988931967,-500843094
25432733,-888546933
297517868,630847372
-756240871,1853476228
910167999,-27601057
-2010278352,-1597844656
1247298459,-1800162357
-144405761,104388377
700062927,-878299108
1760510784,-1976667354
-983333567,-1013715555
1566848218,813842306
-292337746,-1131586
531631030,735721824
-1811230281,-654873585
-1072318022,-29832215
1543991449,-1130591582
510327545,-182464108
-1741106776,510695230
948027176,742825065
1607480687,-1377018762
-88188054,1994120114
624372661,771575177
-130025243,-1900809864
-657765426,324210827
-364092,-660502543
-364092,14415642
-1951682930,-700303611
747145223,-26315286
-1843994239,1546195829
195569352,4101260
-70210165,-113012930
-999705401,-840870967
1857490477,-1904842441
-1920582690,115247947
-1778050150,-654873585
-1847082000,-917305131
-175477999,-1741106776
-1920397310,1607480687
-1619835694,-1212859373
742825065,829847299
174529122,-817412349
-781239495,1749460814
-130025243,-868823982
51502707,169369302
1589710134,-1064042508
-840870967,-661313126
2001275572,1748751532
89032675,745745259
832500656,-1595822285
16804792,-1847598412
2007267478,-1666254895
1719108652,-63938029
1749460814,-1715143641
-1719659094,-661313126
237667990,-1064042508
146039658,-1846104730
-1659347164,-1357804521
-794971571,-1619835694
-1190259475,-353676363
57217027,507210563
747145223,-146162334
701285870,1653332779
-1811230281,1766282126
-1821756138,-500843094
740117774,857915786
-1894310667,1741524107
811321564,1831561688
511008687,1564304183
986081200,711551555
214809866,1589710134
-1573717364,-239115722
1021351749,-1915798964
46733199,747145223
796702953,-29832215
1814236117,-2025231764
-419269542,130399900
719801175,-886596479
510327545,735721824
-794971571,-91045489
739587967,1720056351
-1603242205,-1071339662
568479411,-683682350
822460531,745744578
-1837190663,48670485
-232317873,-926166744
43893898,1611338613
-2010278352,214809866
2034059330,-41127744
-1106433553,-364092
-34186337,510327545
-1977743520,788904162
1720056351,796702953
1458431481,1744467030
-56703972,499182992
-859117414,858776814
-926166744,-217970676
1555628211,78530896
1741524107,-1659347164
-1577364198,130399900
-68825008,-239115722
1660033994,-153567452
-1665028386,-471165616
-926166744,-1072318022
-1487362887,653006411
297251960,-88160967
-691882412,324607878
-713987545,1661418556
1813501647,-775789583
-1357804521,-1659347164
-79575549,251814776
-62688778,1545778101
-1678959010,85398046
930447378,1011220918
-27601057,1132965784
-111303532,-471165616
2067388453,1546195829
1898780211,971057636
-808669225,-1633721216
-1691894009,58528104
53159566,-330797151
-2074951365,-239115722
108906685,-867830207
-1888877086,490322074
-1787955413,740958325
1602864164,-2089641482
542153833,-693452556
944604587,1719108652
-364092,945624663
-1723910062,-364092
-110420183,1536610841
-239115722,-868823982
-660502543,1607480687
942492331,-471165616
-2097380011,-91045489
1628543018,-27601057
-296859375,-130025243
1607480687,-1577364198
-1853839019,-1952803707
-744916574,-1072318022
-2017539901,711551555
-840870967,-1930141384
-132698020,-1058692349
747145223,628215924
977490562,-861147860
1653332779,-91045489
-1922334462,-1756475904
1114540939,-130025243
511008687,-978399477
-804654379,-660502543
1771803044,-38509187
-55902489,1625180443
-957748078,-1041476022
-2010088658,945167366
1055157918,108906685
-979640732,854368802
199197188,30824903
-2027691124,-239115722
-1778355713,-1072318022
-806939064,1399988492
843896693,1761209006
1853535492,-1753118089
707097214,735721824
-1294046096,-231973970
-95765688,58528104
-125468049,988447166
1595570175,46938856
-1957912263,-2097380011
-1904842441,-100132672
-1752750006,-683480476
-661313126,-1904842441
-1518438537,-133198922
-979640732,-1888877086
1564304183,1761209006
-1753118089,-1959168784
-1034684065,-1128657732
-1158060488,-95024569
-713987545,-1058692349
1132965784,1566848218
-1487362887,542153833
-95765688,1946191992
-806429871,-1694338648
-2135477310,1650054166
977490562,1602864164
771573100,195569352
1546195829,-621137055
717887855,799380211
-1175259340,1513700451
-1151852688,510327545
-1025654217,60284371
-921394040,679274035
1799365288,1989538903
-1888877086,-916588225
348073231,324210827
242103037,-2010278352
1749460814,-1703465493
887104736,-1947919097
214809866,-2074951365
-840870967,912817255
-683480476,684051303
-89182109,-683480476
-2027691124,-921394040
124336580,-88160967
348073231,-130025243
804534065,-878299108
1828171521,-1919096019
-101240936,1611338613
507210563,-921394040
1654862655,-1976667354
942492331,1719108652
-923292688,-979640732
-659407334,115863800
813842306,700062927
1746036768,-419269542
788257537,3236459
1861354906,943747384
1592709216,-86257508
469895463,-1778355713
972834559,713365542
-859117414,-667069249
-1947919097,1814234201
-55902489,-88164319
-2064976419,169752951
-256449389,2034059330
-203930990,-668946953
-1912691380,-953955987
-1930141384,-1058692349
-1659347164,169752951
-725272663,1767421152
1002534139,-1843994239
70532529,-1919096019
-993947859,-1741106776
-418706674,1767421152
1794343760,1742194695
1103389860,1846141343
770586397,4040661
1829924535,-1175259340
-62688778,735721824
904974774,-1919096019
-95765688,800945496
-775789583,-239115722
-1751987109,438054
857915786,741186437
888774949,-719616001
-1733962348,-23607567
27489619,1946340793
-32010138,-1544201125
-130025243,169752951
1607480687,1607451981
742825065,833597126
1094214645,1760510784
-2010278352,-88160967
930447378,-879481778
-922033401,794147377
-247074805,-1785214158
890494006,740958325
-156095879,2047722803
1785818414,542153833
-946173981,1082276703
-1242305744,775416289
-130025243,-1025654217
-953955987,324210827
1654862655,-132698020
739587967,-29832215
-1597844656,-1573717364
-1190259475,1825839471
401211831,324210827
130399900,-892646668
-1846104730,89386533
972834559,-182464108
24478559,-1062292040
1673269331,-2097380011
-2089641482,-274207314
1428141498,-654873585
-1633751935,-1633778907
242103037,-2074951365
-1195014504,130399900
1647382835,1767421152
4040661,1853476228
1331331028,1770885721
104504603,942487650
-1753118089,-1978913137
-1976667354,-419269542
-323853287,-1778800562
-1715143641,-1666227740
1609161092,1021351749
-1800159567,-1409388808
747145223,737621821
143107243,499182992
972834559,-1025654217
717887855,-57631518
1692486831,1741752386
1828148957,-1746860539
-713987545,1719108652
-1741106776,1114540939
169752951,-239115722
-1718775422,896653415
84532314,172597420
2346142,1749460814
1399061361,108906685
-1034684065,1625295672
179040831,986081200
-953955987,57217027
-659407334,-979640732
984249050,438054
-323853287,-993947859
-794971571,-1573717364
-1746860539,1747821286
1422491262,-2064976419
1147874834,878452836
1731552368,-1778355713
528890475,972834559
-743532439,-471165616
891353292,-1669814421
-1888877086,-799704526
-993947859,542153833
-1603242205,-112354638
-37177861,1767421152
-1659347164,1428141498
-1690491820,679274035
930447378,-1190259475
-1608715553,-1128657732
-132698020,956432079
51502707,-1920582690
-1213500485,655408590
-1578517598,-130025243
-775789583,972834559
887907013,-1904842441
-1064042508,-61341307
1533915454,-91045489
2346142,1036153944
-1752750006,-1049819072
-845322360,-24522706
916694120,-1664155478
510695230,-1778050150
-1778800562,-1151852688
-916588225,-840870967
1545778101,214809866
1835527012,16804792
-1778355713,855763548
1147874834,1645767954
-1800162357,46887799
-1122864713,-657765426
1657322497,-93426802
-1597844656,-794971571
1653332779,-88160967
1833591669,1011536631
-1776284983,-1064042508
-1835493952,888212027
1749460814,-1977743520
-1894310667,-868823982
-1025654217,1741524107
60284371,-1741106776
-323853287,-1712909745
324210827,1428141498
1835527012,-1659105053
-491746529,1543991449
-411768038,-1347822528
-1888877086,104388377
768222941,2107211738
-2064976419,-1690491820
1055157918,-1518438537
-976580696,1835527012
-921394040,-1064042508
25514268,1592709216
1813501647,-1043043581
746931982,1767421152
833597126,830587238
1428141498,-1659347164
-1846104730,-1951682930
-2074951365,70532529
542153833,-1841155350
804534065,438054
-6800840,1602864164
-1575717148,-25393591
-700303611,-1567037110
-1151852688,-1690491820
195569352,-93651882
-143606145,910167999
-1020121259,-1872597835
-1043043581,-654873585
-1722701930,-232317873
-919151438,1566848218
707097214,214809866
984084338,-943923335
-637610012,1742194695
740958325,-800255385
-89174238,1661418556
-1630149183,-794971571
-143606145,-471165616
-79575549,819728603
-1915798964,-1705050063
-918880117,104388377
-655741307,747145223
896653415,974561684
1538491083,-1294046096
972834559,679274035
-916588225,104388377
199197188,143821229
-1785214158,-1811230281
-892646668,-878299108
-1952803707,-1007831293
1760510784,-1603242205
-2089641482,943747384
1592709216,1680438997
1777874460,-978308421
-1151852688,-1900809864
-895740085,-203930990
-1922334462,-450937114
-807573725,-1518438537
403684445,-130025243
1714133883,1810020972
-143606145,1719108652
107665255,-231973970
-1920582690,-1780853097
941987851,-1597844656
-1175259340,-6800840
1781393063,214809866
858776814,-668946953
-1158060488,1716126452
-1919096019,-657765426
-364092,115863800
-804654379,-678371308
1022105318,1025103814
-775048268,1833591669
-1122864713,507210563
992906719,-1034684065
1647382835,-34186337
-888703824,-1633721216
227698196,-868823982
742825065,830587238
-79575549,1802225451
-993947859,740958325
438054,1720056351
945167366,-100132672
-1549708669,804534065
1846141343,679574785
-34186337,1555628211
-1151361103,199197188
-1690491820,1741524107
-870699819,-1131586
-1920582690,-443641491
-1195014504,-799704526
-1900809864,-1894310667
-859117414,-120872642
-1130591582,1539280645
-266511629,-1122864713
-1741106776,-2064976419
-1746860539,-1072292168
-364092,-29832215
-916588225,956432079
1813501647,-2016773491
-232317873,-1071339662
1891981400,98128900
-1773170776,-3048179
-1058692349,-132698020
-1071339662,-1071245484
438054,-1719659094
931369662,1011220918
-1753118089,-1694338648
-1487362887,-239115722
941987851,-1894310667
-920222943,-323853287
2130035460,1564304183
507210563,-868823982
230566011,1140331226
-28310264,918385285
-1915798964,-819832095
1625295672,-1608715553
-1159042389,1742194695
1458431481,944416791
-1930141384,-1976667354
1625295672,-1034684065
1833066736,-1606719180
833597126,948027176
1528623260,-775789583
1848887896,-38509187
130406654,-1071339662
-1072318022,1777290413
-657765426,-1968224528
-2070025840,-88160967
143821229,-1646123465
-29832215,-1779986183
1055642845,-916588225
-2014765453,-130025243
1813501647,701285870
-419269542,-217970676
-858138417,1746150224
1103389860,-895740085
-1072318022,-888578830
843896693,-835228646
-1691894009,-621137055
-1518438537,-819832095
-1741106776,-2010278352
-2097693708,-868823982
348073231,-654873585
624372661,-364092
-770463628,-716873338
624372661,-2025326034
-875656547,-79575549
-1778972353,-1778973320
931369662,-659770892
1749460814,-1750142464
-1423067140,-1919471358
-868823982,108906685
-1074782708,-419269542
-1129399385,497871286
-1071339662,1055642845
1514078204,1607480687
46887799,-499975373
-1025654217,-239115722
-1603242205,1887872820
