id,Label,Community
1637984736,DrPartizan_,-2146345676
-582010711,Nidalgazaui,-2146345676
-717057007,sayed_ridha,-2146345676
-2030837323,WarNews24_7,-2146345676
1368731780,Abduhark,-2146345676
72,H,-2146345676
-1281627563,Malcolmite,-2146345676
-1594797163,M3t4_tr0n,-2146345676
-2146345676,Hamas_Mujahid_,-2146345676
3737,un,-2146345676
501925981,warrnews,-2146345676
2713,UN,-2146345676
-2069348475,WhiteCat_7,-2115750060
-1966751363,WilayatNinawa,-2115750060
39641188,_croxetti_,-2115750060
-1895974276,ProJ32,-2115750060
-2115750060,Somaliyyah,-2115750060
682779065,ibnu_noran8,-2115750060
-537460567,SimNasr,-2109970116
1393713412,OttomanAkh,-2109970116
69647780,IHWCo,-2109970116
-1192449731,Fiefienix,-2109970116
1529326256,Qonaqkend,-2109970116
403149652,SinaiViaDamas,-2109970116
-545164699,fukuyamazigh,-2109970116
857613704,WarReporter1,-2109970116
482439428,Gobelet_Jetable,-2109970116
-865960295,Buzzriet,-2109970116
-788416051,Quart_Monde,-2109970116
1707949268,maps_meast_sec,-2109970116
-443215343,AshForSyria,-2109970116
1808459929,AbuBlock,-2109970116
832282677,Pyjama45,-2109970116
610965781,BrunFree,-2109970116
1093666029,1OeufQuiParle,-2109970116
-598482912,Annabbii,-2109970116
-695204064,Metammorph,-2109970116
620463573,app33mu113_,-2109970116
196586117,milietweet,-2109970116
-1480096252,RomainCaillet,-2109970116
-2109970116,nayes110,-2109970116
341808549,Belkadette,-2109970116
1116025029,wail75p,-2109970116
-437812756,YusuF90192469,-2109970116
-1150605816,adamks_,-2109970116
2036111245,lan_atharan,-2109970116
1202351809,Conflicts,-2109970116
-110182308,Mosul_05,-2094045438
-1747664780,abutariq041,-2094045438
-577217583,__alfresco__,-2069348475
-1184099355,MaghrebiWM,-2069348475
1645918548,1515Ummah,-2069348475
434028064,YazeedDhardaa25,-2069348475
-320662007,04_8_1437,-2069348475
-1250851679,Battar_English,-2069348475
-629633847,Al_Battar_Engl,-2069348475
-1280121671,Fidaee_Fulaani,-2069348475
551509584,abubakerdimshqi,-2069348475
1734753792,squadsquaaaaad,-2069348475
373949484,lNSlDEWAR,-2069348475
-1855510363,saifulakhir,-2069348475
1882989664,moustiklash,-2069348475
-1990775031,MhzBnt,-2069348475
-1310674551,warreporter2,-2069348475
2052576516,EPlC24,-2069348475
-1709326967,BaqiyaIs,-2069348475
-766578655,abuhumayra4,-2069348475
-216362263,IbnKashmir_,-2069348475
530020572,BilalIbnRabah1,-2069348475
662091660,MaghrabiArabi,-2069348475
1300817432,c0n0fj1had4_,-2069348475
1700215997,AbuNaseeha_03,-2069348475
-1940056308,st3erer,-2069348475
-664044680,FidaeeFulaani,-2069348475
-7203740,abdlrhmn15,-2069348475
440050313,AbuMusab_110,-2069348475
937487721,GunsandCoffee70,-2069348475
-489740380,safiyaimback,-2069348475
2062324505,almuhajirun9,-2069348475
-548756796,Jazrawi_Joulan,-2069348475
600540397,sonofshishan,-2069348475
-680585036,1Dawlah_III,-2069348475
-290785352,JoinISNation102,-2069348475
970848901,CXaafada2,-2069348475
284350777,grezz10,-2069348475
1601742098,VivaRevolt,-2146345676
1942640278,CTstudies,-2146345676
45678,...,-2146345676
165005102,ShamiRebel,-2146345676
683100442,RamiAlLolah,-2146345676
-581206341,arabthomness,-2146345676
-1854767153,support,-2146345676
1646576643,IsraelHatzolah,-2146345676
2095,AP,-2146345676
-2091057170,Paradoxy13,-2146345676
-623414321,WilayatHalab,-2115750060
1933612750,Haditha21,-2115750060
-916346253,twitter,-2115750060
1047440147,Abu_adamm,-2115750060
-2076514246,11_HaqqPrevails,-2115750060
-1342009118,etdz101010,-2115750060
-70923229,fasabrun_jameel,-2109970116
1598105746,OlivierGuitta,-2109970116
-232800897,MiddleEastEye,-2109970116
1168165858,DanieleRaineri,-2109970116
-1508054033,BiladFransa,-2109970116
-1676407789,Qarass_news,-2109970116
-812210653,LevantineWD,-2109970116
-1658049477,RahaafH,-2109970116
1116025030,wail75q,-2109970116
-421924825,kogaalbarq,-2109970116
1800221130,Chief_MarshallR,-2109970116
1983022311,ReporterSyrien,-2109970116
89550543,TheIraqWitness,-2109970116
335922575,HadjSarrasins,-2109970116
-1009380982,IssaBarbarossa,-2109970116
1058369043,DeriChaw,-2109970116
2066034775,IdealDeSanta,-2109970116
162214379,_DavidThomson,-2109970116
622597019,PeigneACheveux,-2109970116
474651243,Sturluson__,-2109970116
1116142803,Ibn_Sayyid,-2109970116
-586954550,khanasori147,-2109970116
64715,AFP,-2109970116
-949816374,app33mu113,-2109970116
-1683075162,Charles_Lister,-2109970116
686885799,fiqhalwaqi,-2109970116
1700885397,SilentSecretMan,-2109970116
18739643,Uncle_SamCoco,-2109970116
-1605408874,68tardPourTous,-2109970116
-610157286,saladinisback1,-2109970116
-1747664781,abutariq040,-2094045438
-1050918749,Jazrawi_Heit,-2094045438
-2094045438,alamriki_omar,-2094045438
-837884014,Jazrawi_Saraqib,-2094045438
958052278,AsimAbuMerjem,-2069348475
-1184099829,MaghrebiHD,-2069348475
-1866498905,emran_getu,-2069348475
1459820466,ansarakhilafa,-2069348475
570490174,baaqiya_01,-2069348475
-1557140841,ALK___226,-2069348475
808348786,murasil1,-2069348475
-97888409,kIakishini5,-2069348475
1309647722,abuhanzalah10,-2069348475
-477243281,al_zaishan10,-2069348475
632750682,pleaoftheummah,-2069348475
-214166205,mustafaklash56,-2069348475
