id,Label,Community
-241626586,Ibn__Al_Farooq_,-1944166317
2081067267,Alhamdhulillaah,-1944166317
-1053872797,Kronykal,-1854767153
240063334,alamrikiya_001,-1854767153
-989894085,WorldConflictNe,-1854767153
-853531849,Adamhasak46,-1854767153
465799210,TRENDlNG_NEWS,-1854767153
798144682,_NewsLeak_,-1854767153
1323333446,7layers_,-1854767153
1947609487,MaghrebiEng,-1854767153
490040879,Terror_Monitor,-1854767153
-909893934,safety,-1854767153
-1847330514,ScotMikey1111,-1854767153
-1452487438,AbdugheniSabit,-1854767153
238470959,CoolDabiq3,-1854767153
1947616474,MaghrebiMWs,-1833283096
1182245226,thevictoryseri4,-1833283096
-1508000805,The_Muwahhid,-1833283096
-1150826838,jsiwat,-1833283096
2105922218,waroflegends1,0
-1349393601,TauhidWalHadid,0
1685012070,DreadMozlum,0
1322560674,freeOurSisters1,0
208033030,IbnElHijaz,0
181460410,ghnimah2,0
305411622,BintRosie34,0
1158256714,wayf44rerr,0
-672561485,manjanik_news,0
1085014414,hjr_jhd_17,0
-943622305,AnakSabil_,0
-2089983065,_blvrnasiha,0
1002106690,OumDujana,0
970471154,tati56555,0
-394726381,LaDonnaRae53,0
-1974542081,malle111elf,0
-183423977,striv3ric,0
-824161674,MuslimPrisoners,0
671954723,YouTube,0
-394032302,KhalidMaghrebi,0
1158256695,wayf44rer_,0
-1878510362,ambrablu,0
66883,CNN,0
2054639375,F4Sham,0
512251727,2222_Dreamland,0
-1720262290,MddmVdmm,0
303176017,BatInfo147,0
-1411491114,apb_is,0
1120903439,mkmjnnj,0
1768238311,AkhiJibran,0
-2049099357,noutankibaaz,-2049099357
-1854767153,support,-1854767153
-1944166317,melvynlion,-1944166317
-2010434654,maisaraghereeb,-2010434654
-2094045438,alamriki_omar,-2094045438
-2069348475,WhiteCat_7,-2069348475
-2011454831,wwayf44rer,-2011454831
-2109970116,nayes110,-2109970116
-2146345676,Hamas_Mujahid_,-2146345676
-2115750060,Somaliyyah,-2115750060
-1833283096,DidyouknowVS,-1833283096
